1	2.922114e-01	9.311110e-02	2.258774e+00
2	3.073701e-01	9.619205e-02	2.463422e+00
3	2.933569e-01	1.051958e-01	2.558619e+00
4	3.270727e-01	1.176813e-01	2.712588e+00
5	3.437280e-01	1.384035e-01	2.927838e+00
6	3.419360e-01	1.545453e-01	2.941431e+00
7	3.738447e-01	1.673760e-01	3.134557e+00
8	3.873245e-01	2.015855e-01	3.233034e+00
9	3.991827e-01	2.205926e-01	3.346096e+00
10	3.873727e-01	2.579052e-01	3.352561e+00
11	4.098164e-01	3.052681e-01	3.407362e+00
12	3.937057e-01	3.374157e-01	3.403054e+00
13	4.333195e-01	3.865373e-01	3.522887e+00
14	4.003085e-01	4.359288e-01	3.440100e+00
15	4.381570e-01	4.873810e-01	3.493125e+00
16	4.592679e-01	5.778119e-01	3.527854e+00
17	4.152451e-01	6.240549e-01	3.415451e+00
18	4.266842e-01	6.669459e-01	3.391955e+00
19	4.393550e-01	7.708034e-01	3.388599e+00
20	3.885628e-01	8.092510e-01	3.264642e+00
21	4.446118e-01	9.216201e-01	3.322793e+00
22	4.418059e-01	9.719277e-01	3.280246e+00
23	4.408213e-01	1.017337e+00	3.265047e+00
24	4.829902e-01	1.117684e+00	3.214673e+00
25	4.409588e-01	1.161409e+00	3.177592e+00
26	5.009946e-01	1.299378e+00	3.224975e+00
27	5.648874e-01	1.393683e+00	3.250969e+00
28	5.746096e-01	1.493573e+00	3.249253e+00
29	5.680062e-01	1.553669e+00	3.209986e+00
30	5.927349e-01	1.636193e+00	3.195863e+00	2000
35	6.237329e-01	1.973198e+00	3.090518e+00	2000
40	6.371559e-01	2.263529e+00	2.941926e+00	2000
45	6.970432e-01	2.580843e+00	2.800792e+00	2000
50	6.688834e-01	2.857503e+00	2.584192e+00	2000
55	7.154043e-01	3.057868e+00	2.335967e+00	2000
60	7.108231e-01	3.294533e+00	2.059961e+00	2000
65	7.303451e-01	3.376391e+00	1.752929e+00	2000
70	6.591293e-01	3.368390e+00	1.391392e+00	2000
75	7.031251e-01	3.329507e+00	1.069782e+00	2000
80	7.197102e-01	3.136192e+00	7.295788e-01	2000
85	7.700259e-01	2.784492e+00	4.093379e-01	2000
90	8.512391e-01	2.384863e+00	1.273849e-01	2000
95	9.516669e-01	2.035878e+00	-9.973339e-02	2000
100	1.014535e+00	1.750749e+00	-2.901621e-01	2000
105	1.067258e+00	1.543483e+00	-4.448321e-01	2000
110	1.124324e+00	1.358107e+00	-5.638666e-01	2000
115	1.162365e+00	1.245283e+00	-6.703311e-01	2000
120	1.118415e+00	1.162902e+00	-7.411577e-01	2000
125	1.048951e+00	1.187519e+00	-8.875544e-01	2000
130	9.701542e-01	1.213474e+00	-1.127309e+00	2000
135	8.857546e-01	1.238103e+00	-1.422502e+00	2000
140	7.811110e-01	1.204755e+00	-1.681420e+00	2000
145	6.782599e-01	1.228091e+00	-2.021901e+00	2000
150	5.752750e-01	1.140842e+00	-2.349125e+00	2000
